GivenName,Surname,Gender,StreetAddress,City,TelephoneNumber,Birthday
Grace,Arriaga,female,4518 Lynn Avenue,Wausau,715-573-9913,8/26/1970
Russell,Weller,male,820 Murphy Court,Golden Valley,952-227-4472,5/17/1970
Ana,Harrison,female,2145 Abner Road,Green Bay,715-438-2716,4/21/1971
Robert,Macdonald,male,170 Spinnaker Lane,Streator,815-674-7300,3/20/1978
Karen,Miller,female,3743 Red Maple Drive,Los Angeles,323-454-0383,7/19/1969
Michael,Munn,male,164 Woodland Terrace,Sacramento,916-855-5000,9/10/1985
Gregory,Johnson,male,889 Charter Street,Shawnee,913-688-9822,9/26/1991
Barbera,Oconnell,female,101 Emily Drive,Columbia,803-978-4580,7/9/1965
Kim,Quinney,female,4450 James Avenue,Syracuse,315-916-8305,6/22/1966
Kisha,McNeal,female,3503 Holden Street,San Diego,619-207-1716,1/19/1992
Rachel,Fleischmann,female,2301 Pickens Way,Longview,903-372-5890,6/18/1965
David,Garcia,male,3527 Raccoon Run,Seattle,206-839-9080,5/25/1958
Jana,Dungan,female,4047 Harrison Street,San Francisco,415-508-7668,12/29/1975
Suzanne,Michaels,female,326 Glendale Avenue,Sherman Oaks,818-628-4427,7/26/1988
Una,Miller,female,973 Bryan Street,Milton,336-234-6803,8/24/1952
Candice,Cote,female,4576 Fleming Way,Richmond,804-803-9101,4/15/1967
Katie,Ramirez,female,6 Stratford Court,Raleigh,919-713-4365,1/16/1955
Ernest,Chandler,male,1791 Charla Lane,Arlington,972-768-9386,2/7/1986
Joshua,Liddell,male,717 Reppert Coal Road,Detroit,586-830-0556,2/12/1992
Thomas,Valdovinos,male,4287 Frum Street,Nashville,615-333-7972,4/27/1951
Veronica,Holmberg,female,1011 Eagle Street,Centralia,618-314-7296,12/17/1965
James,Keith,male,3459 Penn Street,Winona,573-325-2924,5/21/1974
Joan,Wilson,female,2531 Charack Road,Sharonville,812-290-6242,3/15/1987
Maria,Ayers,female,1396 Kelly Drive,Charleston,304-926-0570,12/11/1962
James,Cola,male,4544 Hanifan Lane,Norcross,678-570-7367,7/5/1964
Mary,Salazar,female,4311 Cherry Tree Drive,Jacksonville,904-348-6199,6/10/1983
David,Boswell,male,4244 Goldie Lane,Norwood,513-366-5990,10/5/1987
Beverly,Rawls,female,3837 Primrose Lane,Liberty Pole,608-675-2515,4/23/1992
Lawrence,Mercer,male,3740 Rardin Drive,Mountain View,650-623-1433,10/15/1961
John,Vasquez,male,3314 Counts Lane,West Hartford,860-231-0512,9/20/1992
Dolores,Sampson,female,3883 Oak Street,Oswego,315-349-7948,6/19/1991
Marie,Sampson,female,2038 James Martin Circle,Westerville,614-365-1905,12/16/1979
Melinda,Simon,female,4012 Black Stallion Road,Cincinnati,859-462-5601,5/4/1967
Kevin,Miller,male,1419 Sugar Camp Road,Redwood Falls,507-640-3811,11/28/1985
Edward,Peterson,male,1455 Hillcrest Drive,Seattle,253-375-7634,7/30/1956
Maxine,Miller,female,842 Dogwood Lane,Tucson,520-743-9617,10/6/1956
Shannon,Saunders,female,4340 Delaware Avenue,San Jose,415-323-9921,10/5/1980
Kathy,Andrade,female,2527 Oak Avenue,Libertyville,847-918-7398,7/5/1964
Carol,Hyman,female,1318 Thorn Street,Glenrock,307-436-7293,3/11/1990
Louis,Ramey,male,1336 Chestnut Street,Clearwater,727-448-8325,8/7/1957
Melisa,Fischer,female,130 Hillview Street,Columbia,803-720-5953,8/28/1972
Linda,Cooper,female,1930 Lynn Avenue,Grantsburg,715-463-6419,1/11/1981
Dewey,Davis,male,4040 Waterview Lane,Tucumcari,505-461-1266,12/1/1974
Adelle,Brandon,female,1089 Bruce Street,Saint Louis,314-259-5603,11/23/1964
Tommy,Eley,male,3592 Cliffside Drive,Guilford,607-373-7372,11/2/1968
Rogelio,Austin,male,2988 Bluff Street,Laurel,301-776-9367,8/7/1979
Tyree,Holland,male,1383 Cityview Drive,Bensalem,610-475-4301,12/11/1970
Florence,Hall,female,4596 Maud Street,Dover,302-741-0238,7/20/1948
Gregory,Ledbetter,male,4057 Austin Secret Lane,West Valley City,435-514-2724,12/13/1965
Donald,Stewart,male,4331 Jim Rosa Lane,San Francisco,415-767-8352,3/1/1980
Victor,Santillo,male,3837 Ryan Road,Spearfish,605-642-2111,9/2/1949
Esther,Bright,female,952 Walkers Ridge Way,Oak Brook,630-288-2098,12/19/1979
William,Motley,male,2371 Layman Court,Smyrna,678-309-7426,8/28/1950
Helen,Evans,female,3582 Burnside Court,Phoenix,602-398-0457,6/12/1954
Jose,Hill,male,2223 Station Street,Fremont,510-875-3688,5/9/1959
Calvin,Ryan,male,216 Woodridge Lane,Memphis,901-321-7589,10/5/1990
Doris,Patterson,female,4866 Sand Fork Road,Middlebury,574-825-0962,2/12/1985
Daniel,Bailey,male,3067 Grove Street,Garden City,631-774-1538,1/24/1949
Jim,Juarez,male,527 Pinnickinnick Street,Rochelle Park,732-809-7590,12/26/1948
Michelle,Stanford,female,1536 Brown Bear Drive,Moreno Valley,951-601-6490,9/27/1983
Krystal,Doty,female,1647 Brown Bear Drive,Idyllwild,951-659-0039,4/3/1988
Richard,Plaisance,male,1843 Fancher Drive,Arlington,214-316-9225,9/7/1959
Timothy,Garay,male,3536 Maple Lane,Huntsville,256-539-4632,12/28/1979
Hugh,Maldonado,male,3450 Haymond Rocks Road,Redmond,541-526-3013,11/8/1991
Charlotte,Gordon,female,3970 Lowland Drive,Harmon,815-359-5850,5/29/1970
Joseph,Adams,male,2450 Capitol Avenue,Richmond,765-509-4089,6/15/1966
Steve,Glass,male,1456 D Street,Bloomfield Township,586-553-6875,8/11/1984
David,Woodrum,male,2973 Kimberly Way,Grand Rapids,616-901-3471,9/11/1956
Jerome,Beaupre,male,2151 Reppert Coal Road,Detroit,586-884-6135,2/3/1985
Craig,McLaughlin,male,740 Burning Memory Lane,Philadelphia,215-252-6174,4/29/1978
Brent,Pascale,male,1217 Cherry Ridge Drive,Hamlin,585-964-4888,4/8/1970
Gerald,Hart,male,1441 Roosevelt Wilson Lane,Riverside,909-835-4855,7/13/1976
Timothy,Hertel,male,2102 Browning Lane,Binghamton,607-771-3341,4/26/1991
George,Norton,male,4770 Terra Street,Port Townsend,360-302-5136,2/8/1983
George,Jefferson,male,4303 Havanna Street,Greensboro,336-393-4416,9/19/1990
Nancy,Byrnes,female,1433 Jarvisville Road,Hicksville,516-943-0764,5/23/1961
Remedios,McGowan,female,3800 West Fork Drive,Fort Lauderdale,954-468-4109,11/28/1990
Michael,Brawner,male,4709 White Oak Drive,Kansas City,816-616-0643,1/14/1963
Concetta,Best,female,3178 White Oak Drive,Kansas City,816-761-8351,10/12/1951
Edna,Baez,female,2659 Elsie Drive,Vermillion,605-202-8330,9/16/1982
Robert,Charney,male,3433 Francis Mine,Chico,530-236-9280,2/22/1976
Dianne,Henninger,female,2486 Woodrow Way,Houston,936-370-6596,4/18/1990
Jean,Whetzel,female,1422 Abia Martin Drive,Bethpage,631-591-4007,11/26/1953
Herbert,Graham,male,2438 Callison Lane,Newark,302-453-5784,1/18/1982
Mark,Cole,male,3506 Cottonwood Lane,Grand Rapids,616-204-5180,4/28/1977
Shawn,Aaron,male,3416 McVaney Road,Asheville,828-250-1750,7/18/1977
Dorothy,Patterson,female,1173 Diamond Street,Robbinsville,828-479-6895,2/19/1969
Donna,Franco,female,3646 Parkway Street,Palm Springs,760-250-6803,8/30/1962
Brandon,Motyka,male,4756 Fairfax Drive,Weehawken,908-923-1950,7/13/1953
Bobbie,McCloud,female,2802 Harter Street,Dayton,937-580-0781,4/21/1962
Charles,Broman,male,3246 Highland View Drive,Sacramento,916-590-3880,10/14/1987
Pamela,Garcia,female,2731 Fittro Street,Helena,870-338-3991,1/10/1951
Glinda,Butterworth,female,4241 Grove Street,Brentwood,631-815-1776,3/15/1969
Jennifer,France,female,1156 Redbud Drive,Whitestone,347-715-9208,6/25/1973
Robert,Horner,male,556 Sigley Road,Burlingame,785-654-5576,3/22/1980
Scott,Taylor,male,1766 Walkers Ridge Way,Wheeling,630-286-5697,9/14/1977
Raymond,Patton,male,4488 Quarry Drive,Montgomery,334-834-9512,12/23/1955
Kyle,Sales,male,4872 Bailey Drive,Waterloo,319-272-7328,2/4/1968
Edward,Kinney,male,2754 Lake Road,Camden,609-336-6175,3/14/1989
Bruce,Baggett,male,2155 Alpha Avenue,Tyler,903-939-9569,10/25/1985
Jose,Denison,male,569 Butternut Lane,Carbondale,618-518-7845,5/31/1950
Jessica,Jackson,female,1513 Froe Street,Wheeling,304-317-6668,4/6/1989
Ron,Beckley,male,1306 Johnson Street,Raleigh,919-855-9878,9/19/1990
Carlos,Osteen,male,2027 Milford Street,Londonderry,603-674-8368,6/2/1956
Mary,Dolan,female,642 Lincoln Street,Mount Holly,609-518-4427,9/1/1976
Douglas,Acevedo,male,831 Ritter Street,Huntsville,256-219-3292,12/1/1975
Frank,Rogers,male,3971 Hawks Nest Lane,Stlouis,314-706-7183,8/25/1953
Juan,Amos,male,2790 Hiddenview Drive,Philadelphia,215-940-2897,4/1/1948
Kimberly,Miera,female,634 Providence Lane,La Puente,626-918-8544,6/14/1980
Clara,Sroka,female,1 Bryan Avenue,Minneapolis,651-331-6393,9/9/1957
Steven,Nipp,male,16 Woodland Avenue,Garyville,985-535-5549,3/24/1976
Evelyn,Garza,female,2558 Rosewood Court,Faribault,507-339-7239,5/5/1982
Leslie,Clay,female,3245 Angie Drive,Westminster,714-891-9460,9/7/1973
Bertha,Servin,female,4302 Reeves Street,Appleton,920-882-4340,10/31/1953
Shirley,Hampton,female,766 Chicago Avenue,Camp Nelson,559-542-3531,4/14/1962
Cindi,McCoy,female,398 Clousson Road,Lake Park,712-832-5810,7/17/1955
Jeff,Vigil,male,2729 Single Street,Foxboro,781-587-8871,6/29/1955
Roy,Sanders,male,438 Fannie Street,College Station,979-268-6877,3/8/1970
Mark,Ford,male,3335 Lena Lane,Jackson,601-474-1873,12/26/1957
Susan,Wenzel,female,1084 Modoc Alley,Pocatello,208-238-4294,8/15/1988
Sonja,Villarreal,female,2380 Hillside Drive,West Roxbury,339-987-3236,9/17/1951
Pamela,Grimes,female,1225 Gateway Avenue,Bakersfield,661-835-2628,4/5/1966
Bradley,Trott,male,587 Valley Street,Camden,856-832-4361,4/15/1989
Deborah,Taylor,female,4746 Steve Hunt Road,Miami,305-709-3846,3/8/1968
Stephen,Glass,male,3181 Goldcliff Circle,Washington,202-634-7773,11/11/1965
James,Totten,male,569 Round Table Drive,Batavia,513-843-3984,3/28/1950
Louis,Bidwell,male,2444 Bedford Street,Hartford,203-974-8791,11/16/1983
Michael,Mosley,male,3749 Norma Lane,Monroe,318-603-5804,8/18/1987
Lottie,Shier,female,108 Horizon Circle,Tacoma,253-531-9845,3/8/1977
Jeffrey,Hart,male,3464 Spring Avenue,Philadelphia,267-642-4117,10/20/1980
Stevie,Swain,female,2542 Spinnaker Lane,Graymont,815-743-5668,1/8/1948
Bernice,Gibbs,female,2969 Duffy Street,Arlington Heights,219-803-3724,4/22/1973
Janet,Dant,female,604 Conaway Street,Bloomington,812-396-7374,9/19/1948
Michelle,Doty,female,1153 Nicholas Street,Home,785-244-5077,11/15/1974
Lois,Scotto,female,294 Fancher Drive,Plano,214-249-0359,5/25/1973
Robert,Rowland,male,3343 Boggess Street,Wichita Falls,940-235-5796,7/31/1975
David,Welch,male,1698 Adams Avenue,Temple Hills,301-702-0832,7/28/1990
William,Orourke,male,3509 Frum Street,Nashville,615-304-2506,12/2/1948
John,Johnson,male,2721 Randall Drive,Moanalua,808-833-8154,10/23/1962
George,Forehand,female,2391 Goldcliff Circle,Lanham,202-249-2703,6/23/1958
Jesse,Walters,male,4899 Fowler Avenue,Atlanta,770-281-5807,11/8/1978
Cheryl,Hughes,female,3527 Colonial Drive,Bryan,979-587-3384,9/24/1973
Terry,Kean,male,1579 Rockwell Lane,Rocky Mount,252-515-1162,1/21/1960
Maria,Jasmin,female,425 Spring Haven Trail,South Orange,973-763-5595,5/4/1963
Ralph,Williams,male,1657 Williams Lane,Wichita,316-633-9484,10/14/1974
Ronald,Tran,male,4318 Charla Lane,Irving,972-714-4949,6/27/1957
Bernie,Ross,male,501 Goodwin Avenue,Spokane,509-444-2351,6/30/1969
Randy,Maffei,male,3416 Cityview Drive,Bryn Mawr,610-519-0862,9/22/1959
Mark,McGuire,male,490 Virgil Street,Tallahassee,850-212-6415,7/29/1981
Kathleen,McVay,female,2154 Thompson Street,Irvine,562-607-3802,1/23/1985
Dewayne,Nguyen,male,4879 Sarah Drive,Lafayette,337-517-4722,8/18/1963
Lucille,Kyle,female,4823 Losh Lane,Hickory,412-748-2344,9/18/1986
Robert,Mauldin,male,4588 Newton Street,Gilman,320-387-8100,5/15/1952
Suzanne,Dehoyos,female,177 Oak Way,Lincoln,402-435-9125,10/22/1985
Bryce,Paradiso,male,2598 Buena Vista Avenue,Eugene,541-689-6250,9/22/1975
Velma,Cain,female,1321 Masonic Drive,Bozeman,406-548-7482,9/12/1990
Joseph,Martinez,male,2519 Nixon Avenue,Kingsport,423-239-4793,5/19/1949
Rodolfo,Reyna,male,2783 Post Avenue,Detroit Lakes,218-847-7727,6/16/1957
Eddie,Babb,male,4930 Davis Avenue,Hydesville,707-768-3617,6/9/1989
Larry,Capehart,male,4266 Upland Avenue,Lima,419-906-8285,8/2/1949
Dora,Burns,female,3044 Earnhardt Drive,Louisville,502-622-8183,6/8/1952
Richard,Gonsalez,male,1042 Clement Street,Atlanta,404-495-1158,2/11/1948
Inez,Port,female,2527 Chenoweth Drive,Nashville,931-539-7401,3/13/1967
Chelsey,Bourgeois,female,4406 Musgrave Street,Atlanta,404-948-6298,3/31/1982
Marie,Windham,female,4861 Webster Street,Piscataway,732-527-1618,1/22/1969
Gene,Lilley,male,2378 Lost Creek Road,Wayne,610-989-5085,2/4/1948
Kenneth,Vega,male,1363 Norma Lane,Monroe,318-502-6512,7/30/1958
Thomas,Lawler,male,4141 Grey Fox Farm Road,Houston,281-815-7207,8/26/1965
Kathleen,Graham,female,1785 Atha Drive,Los Angeles,661-600-1698,1/6/1961
Brian,Abraham,male,2424 Rowes Lane,Brownsville,270-597-4287,1/23/1964
Fred,Harris,male,851 Brookside Drive,Birmingham,205-377-9098,11/20/1986
Willie,Larson,male,2136 Lewis Street,Aurora,630-896-3510,11/16/1959
Jocelyn,Taylor,female,2520 Bagwell Avenue,Gainesville,352-582-7511,10/5/1983
Patrick,Varner,male,4436 Tuna Street,Fenton,810-750-4022,10/28/1956
Aaron,Danaher,male,4005 Upland Avenue,Perrysburg,419-874-6338,4/15/1971
Christopher,Williams,male,4189 Redbud Drive,Garden City,347-706-8085,6/18/1988
Naomi,Hurst,female,4787 University Hill Road,Roodhouse,217-589-6924,5/7/1955
Ralph,Simpson,male,827 Lawman Avenue,Arlington,703-271-4825,9/6/1970
George,Lodge,male,4610 Vineyard Drive,Cleveland,440-348-4619,5/16/1952
Jason,McCusker,male,4697 Meadow Lane,Oakland,707-324-6941,11/11/1983
Todd,Ontiveros,male,818 Norma Lane,Shreveport,318-595-5643,2/17/1992
James,Barbara,male,2986 Duffy Street,Hammond,219-853-7030,3/31/1991
Judy,Kim,female,3077 Harvest Lane,Bakersfield,661-204-8157,12/5/1985
Latasha,Greer,female,3586 Marshville Road,West Nyack,845-642-0329,8/26/1948
Kimberly,Livingstone,female,3795 Passaic Street,Rochelle Park,201-454-5461,7/18/1972
Jane,Gregory,female,808 Rockford Mountain Lane,New Berlin,920-210-2441,6/28/1981
Louis,Miller,male,1129 Hillcrest Drive,Seattle,253-449-8578,8/5/1988
Stewart,Crews,male,1076 Glenview Drive,Corpus Christi,361-525-0934,10/27/1949
Patti,Sorensen,female,316 Cambridge Court,Mulberry,479-997-1654,2/23/1978
Julia,Duppstadt,female,374 Murphy Court,Hopkins,952-238-0474,8/15/1959
Forrest,Williams,male,3055 Hill Croft Farm Road,Oroville,530-538-5659,3/23/1973
George,Forehand,male,1620 Bottom Lane,Tonawanda,716-744-9097,7/21/1976
Ezra,Price,male,2663 Maryland Avenue,Feather Sound,727-537-6143,5/10/1971
Paulette,Anderson,female,2407 Abner Road,Hudson,715-386-4306,6/24/1974
Renee,George,female,2291 Mesa Drive,Las Vegas,702-390-4113,7/16/1980
Joshua,Force,male,3330 Morgan Street,Tallahassee,850-487-0442,10/5/1967
Destiny,Lawrence,female,1298 Jones Avenue,Greensboro,336-790-9376,9/25/1967
Manuel,Erwin,male,2447 Stratford Court,Raleigh,919-779-3827,12/2/1986
Scott,Rebello,male,1380 Broaddus Avenue,Louisville,270-255-2715,3/15/1975
Natalie,Hatch,female,4190 Sugar Camp Road,Winona,507-474-9294,3/8/1992
Christopher,Wells,male,2443 Vine Street,Chicago,847-607-4855,7/29/1948
Eric,Terry,male,1703 Woodstock Drive,Pasadena,626-583-3642,9/22/1949
Andrew,Casper,male,684 Washington Avenue,Jackson,601-909-6200,7/16/1951
Brendon,Allen,male,3907 Findley Avenue,Hampden,701-868-9766,10/27/1953
Mario,Robertson,male,4202 Sardis Station,Minneapolis,612-399-4827,9/28/1970
Michael,McIntosh,male,3196 Golden Street,Miami,305-676-9475,6/11/1952
Carolyn,Heaton,female,4288 Timbercrest Road,Coldfoot Camp,907-678-1112,9/30/1982
Charles,Jones,male,4280 Bassell Avenue,Wichita,501-638-5708,4/13/1989
Larry,Connolly,male,4750 Morningview Lane,New York,646-252-3066,6/4/1987
Shawna,Mortensen,female,4068 Ingram Street,Rushsylvania,937-468-5952,11/7/1977
Willie,Stafford,female,3850 Hoffman Avenue,New York,917-875-6717,12/6/1973
Bonita,Kotter,female,2930 Bartlett Avenue,Livonia,248-495-9616,7/13/1957
Emily,Potts,female,3636 Saint Francis Way,Eagleville,267-241-9753,12/12/1955
Michael,Cooper,male,1523 Wright Court,Cahaba Heights,205-969-1515,5/24/1991
Stefanie,Bonner,female,4732 Lady Bug Drive,Colorado Springs,719-233-2371,1/20/1950
Lillian,Dawson,female,1415 Webster Street,New Brunswick,732-623-1641,10/2/1949
Michael,Delay,male,1489 Gateway Avenue,Los Angeles,661-993-3577,2/13/1980
Billy,Brack,male,3544 John Daniel Drive,Bourbon,573-679-8097,8/11/1968
Jesus,Stroud,male,3896 West Virginia Avenue,Latham,518-961-7845,6/23/1990
Laura,Myles,female,3367 Beechwood Avenue,Weehawken,908-799-6048,11/26/1957
Joseph,Mercado,male,1971 George Street,Dunnellon,352-522-4901,9/19/1980
Patricia,Benavides,female,3071 Brookside Drive,Birmingham,205-335-6920,8/12/1949
Carmen,Brophy,female,2366 Long Street,Gainesville,352-281-8626,1/11/1976
Bethany,Bowen,female,2979 Lindale Avenue,Concord,510-590-7894,12/17/1988
William,Botello,male,4754 Marshville Road,Scotchtown,845-695-5774,7/3/1984
Angela,Decicco,female,2786 Sycamore Street,San Francisco,408-962-6501,4/17/1960
Robert,Lester,male,3407 Chestnut Street,Tampa,727-389-6058,2/27/1976
Leroy,Sanders,male,601 Birch Street,Indianapolis,317-803-5596,11/19/1972
Thomas,Farmer,male,2249 Timbercrest Road,Border City,907-774-2430,3/2/1974
Thelma,Mattos,female,279 Irving Place,Saint Louis,636-203-8362,4/19/1954
William,Striegel,male,2561 Deer Haven Drive,Greenville,864-295-6536,10/18/1978
Sharon,Burns,female,1147 State Street,Detroit,313-978-6933,6/16/1990
Jamison,Higgins,male,91 Crim Lane,Dayton,937-694-3878,4/30/1954
Beatriz,Horne,female,1898 Rebecca Street,Chicago,847-728-8073,7/8/1950
Sandra,Howell,female,284 Clay Street,Greenfield,317-462-0584,4/22/1960
William,Hudson,male,37 Oral Lake Road,Eagan,952-456-2758,1/22/1984
Richard,Wysocki,male,1592 Daylene Drive,Southfield,734-538-1466,10/30/1958
Michael,Johnson,male,3463 Brookview Drive,Beaumont,409-200-6067,3/23/1986
David,Bellanger,male,597 Pinnickinnick Street,Red Bank,732-877-3293,3/17/1979
Naomi,Destefano,female,4704 Anthony Avenue,Abilene,325-695-8548,12/24/1950
Terry,Helton,male,2775 Edwards Street,South Mills,252-771-8638,6/14/1982
Kyle,Mastin,male,2929 Orchard Street,Osseo,952-679-3604,12/22/1978
Johnnie,Smith,male,4969 Pallet Street,White Plains,914-322-8880,11/20/1981
Daniel,Andrews,male,1616 Joy Lane,Woodland Hills,818-592-6319,6/28/1979
Frank,Owen,male,4214 Fairfax Drive,Anaheim,909-219-2738,7/7/1954
Samuel,Greene,male,2999 Sycamore Street,Oakland,408-939-1950,10/11/1963
Carissa,Lowe,female,2967 Kooter Lane,Charlotte,704-472-1047,3/16/1971
Michael,Howard,male,4184 Buck Drive,South Burlington,802-236-1204,6/18/1989
Joanne,Russo,female,1896 Thomas Street,Northbrook,847-562-8216,6/4/1975
Michelle,Stowe,female,4561 Par Drive,San Luis Obispo,805-787-5418,3/18/1967
Paul,Peebles,male,4949 Liberty Street,Farmers Branch,214-876-5963,6/29/1967
Terri,Turman,female,1817 Caynor Circle,Newark,908-484-2332,3/4/1955
Betty,Henry,female,3595 Coal Road,Clarks Summit,570-586-2931,8/15/1976
Brandon,Phillips,male,3543 Thunder Road,Oakland,650-456-7834,5/9/1960
Jewell,Grant,female,4745 Sundown Lane,San Marcos,512-245-7530,12/22/1960
Stella,Burgess,female,172 Hudson Street,Belleville,973-894-4302,9/3/1986
Ada,Byrne,female,4573 Stone Lane,Wayne,610-341-8999,7/14/1965
Rachel,Paradise,female,2421 Hillside Drive,Cambridge,339-814-6246,12/10/1955
Debra,Nickols,female,671 Glory Road,Nashville,931-792-7490,5/21/1980
Leonard,Alvarez,male,1890 Bassell Avenue,Little Rock,501-765-6236,9/22/1973
Kelly,Cooper,female,766 Kooter Lane,Charlotte,704-433-3177,7/7/1989
Eleanor,Smith,female,1680 Hillview Street,Columbia,803-736-4715,2/9/1974
Mike,Flanagan,male,191 Old House Drive,Worthington,740-971-4320,6/28/1980
Christopher,Korth,male,2391 Earnhardt Drive,Louisville,502-675-8621,3/16/1985
Marian,Williams,female,2163 Thompson Street,Irvine,562-572-1212,4/29/1977
Gwendolyn,McIntyre,female,1649 Kuhl Avenue,Atlanta,678-709-3274,1/21/1963
Edna,Cline,female,2161 Rose Street,Arlington Heights,708-279-0518,4/25/1977
Elena,Buckley,female,1539 Tator Patch Road,Chicago,312-845-2302,5/8/1954
Joan,Hill,female,2949 Hickory Lane,Adelphi,202-441-7096,4/6/1951
Sherry,Fishman,female,268 Pike Street,San Diego,858-616-1819,1/20/1966
Sandy,Nosal,female,2503 Joy Lane,Sherman Oaks,818-501-6261,5/5/1978
Lynn,Hines,male,3965 Newton Street,St Cloud,320-309-3280,1/2/1987
Brad,Morrison,male,1366 Hilltop Drive,Lubbock,806-281-6813,3/10/1963
Kelvin,Farmer,male,4227 Anthony Avenue,Abilene,325-794-5158,10/20/1952
Virginia,O'Connor,female,2905 Hummingbird Way,Hays,785-205-2749,9/2/1950
John,Stamps,male,1079 Thunder Road,San Mateo,650-571-9563,2/20/1991
Stacy,Floyd,female,3792 Kerry Way,Irvine,562-794-0582,7/25/1967
Christopher,Ramage,male,3719 Wilkinson Court,Marco Island,239-642-2404,1/14/1969
Melissa,Hunter,female,191 Woodlawn Drive,New Berlin,414-745-4749,1/29/1962
Calvin,Vargas,male,2154 Grand Avenue,Winter Park,407-673-9386,8/20/1952
Deborah,Crepeau,female,2658 White Pine Lane,Pembroke,540-626-4158,1/13/1991
Andrea,Gonzales,female,1292 Bottom Lane,Fredonia,716-672-8742,5/27/1989
Randall,Swanson,male,124 Perine Street,Mclean,703-790-6219,7/31/1959
Daphne,Watson,female,773 Spring Avenue,Phila,267-688-2645,9/5/1992
Susan,Meade,female,2035 Goldie Lane,Norwood,513-396-4921,11/7/1980
Sandra,Mier,female,4500 Rinehart Road,Miami,786-380-3233,12/16/1972
Jeremiah,Stevenson,male,2352 Monroe Avenue,Polk City,941-735-4637,6/6/1973
Jamie,Johnson,female,2775 Retreat Avenue,Birmingham,205-275-1020,9/14/1953
Emma,Turner,female,2668 August Lane,Shreveport,318-423-6063,6/14/1986
Mary,Bell,female,373 Stiles Street,Pittsburgh,412-521-7606,10/13/1954
Gregg,Wallick,male,3615 Melody Lane,Kilmarnock,804-436-3061,12/30/1976
Ronald,Penland,male,1072 Edwards Street,Rocky Mount,252-844-1292,10/1/1982
Sharon,Stoller,female,1871 Lakeland Terrace,Southfield,734-239-7359,9/18/1961
Erin,Weber,female,4392 Southern Avenue,Guthrie Center,641-332-1316,12/26/1971
Julie,Garcia,female,4072 Post Farm Road,Atlanta,404-207-6588,6/3/1987
Joel,Chandler,male,4774 Renwick Drive,Warminster,484-234-1304,4/17/1971
Peter,Cain,male,2954 Broaddus Avenue,Madisonville,270-207-9397,2/25/1988
Luke,Zimmermann,male,2078 Lightning Point Drive,Memphis,901-488-1493,12/1/1954
Soledad,Fetty,female,174 Hidden Pond Road,Nashville,615-713-2738,11/18/1955
David,Alvarez,male,1470 Hampton Meadows,West Newbury,978-363-4051,3/4/1962
Simone,Nicholas,female,3616 Wescam Court,Reno,775-954-7719,4/14/1965
Stacey,Peterson,female,2254 Riverwood Drive,Soda Springs,530-426-7542,6/20/1988
Olivia,Mosley,female,4362 Brannon Avenue,Jacksonville,904-778-7367,7/31/1973
Lacey,Sweeney,female,379 Coal Road,Pittston,570-614-1651,10/29/1967
Jon,Davis,male,3483 Oak Drive,Moira,518-529-7251,3/2/1967
Bonnie,Walker,female,4894 Virginia Street,Chicago,773-604-7302,9/7/1976
Mario,Burton,male,3528 Martha Street,Aguila,928-685-4168,7/25/1957
Maura,Guerra,female,2921 Mount Tabor,Elmsford,914-494-4528,11/1/1961
Martha,Chang,female,4456 Marie Street,Baltimore,410-945-5054,2/25/1984
Andrea,Young,female,3150 East Avenue,Tempe,480-350-1639,7/1/1974
Judith,Johnson,female,1934 Prospect Street,Pennsauken,856-612-6039,1/31/1975
Jeanne,Durant,female,2405 Vineyard Drive,Cleveland,440-425-6617,4/10/1972
Debbie,Corman,female,3385 Reeves Street,Grand Chute,920-802-8248,11/26/1986
John,Dyson,male,3233 Preston Street,Phoenix,623-202-4125,1/22/1954
John,Zimmerman,male,1144 Maloy Court,Topeka,785-438-1584,10/1/1967
Irene,Villegas,female,3167 Par Drive,Los Angeles,805-830-1740,11/23/1952
Warren,Deluna,male,1654 Cedarstone Drive,Maumee,419-461-1888,1/22/1966
Johnathan,McMillan,male,936 Gambler Lane,Houston,281-897-9613,5/27/1969
Cory,Smith,male,523 Emma Street,Sanford,806-865-3345,5/31/1950
Martha,Pattison,female,4515 Poplar Chase Lane,Glenns Ferry,208-366-8973,5/30/1959
Viviana,Cannon,female,2347 Cameron Road,Buffalo,716-449-0182,10/1/1980
Judith,Freeman,female,620 Frum Street,Nashville,615-369-4483,12/24/1965
Alicia,Hillen,female,1006 Maloy Court,Kanorado,785-399-9027,6/21/1992
Wayne,Fifield,male,2946 West Fork Street,Moore,406-374-9709,10/11/1958
Joshua,Stevenson,male,1889 Byers Lane,Redding,530-776-8044,3/5/1953
Steven,Aldrich,male,2124 Irving Road,Ironton,740-479-5750,7/23/1969
Maria,Mahoney,female,3388 Big Elm,Kansas City,816-819-1345,12/2/1954
Carolyn,Garcia,female,4000 Pallet Street,Garden City,914-374-0131,8/25/1988
Kelly,Cohen,female,4859 Barfield Lane,Indianapolis,317-507-9213,3/15/1970
Chris,Nichols,male,3580 Bungalow Road,Omaha,402-927-9316,3/22/1950
Karina,Shumaker,female,230 Woodside Circle,Tallahassee,850-847-5655,3/29/1972
Perry,Taylor,male,1320 Denver Avenue,Los Angeles,951-493-8096,5/14/1978
Norma,Knight,female,832 Bolman Court,Champaign,217-351-4674,7/5/1991
Julie,Kelso,female,4708 Grasselli Street,Nashua,603-371-0033,1/7/1977
